scientific_name,longitude,latitude
Empidonomus aurantioatrocristatus,-64.4931005,-30.9490635
Empidonomus aurantioatrocristatus,-72.9089702,-3.2490769
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-59.3397222,-22.5694444
Empidonomus aurantioatrocristatus,-73.6013603,-3.9318012
Empidonomus aurantioatrocristatus,-76.4591897,-0.4710657
Empidonomus aurantioatrocristatus,-62.0405556,-16.1344444
Empidonomus aurantioatrocristatus,-76.1493409,-0.6375844
Empidonomus aurantioatrocristatus,-65.0934792,-40.8151084
Empidonomus aurantioatrocristatus,-65.470785,-34.747397
Empidonomus aurantioatrocristatus,-64.6784878,-30.045916
Empidonomus aurantioatrocristatus,-76.0412908,-0.5487227
Empidonomus aurantioatrocristatus,-64.1168976,-25.1272576
Empidonomus aurantioatrocristatus,-76.0412908,-0.5487227
Empidonomus aurantioatrocristatus,-72.9174507,-3.2578834
Empidonomus aurantioatrocristatus,-69.6006954,-12.9978882
Empidonomus aurantioatrocristatus,-60.81,-18.5186111
Empidonomus aurantioatrocristatus,-58.1423333,-25.044
Empidonomus aurantioatrocristatus,-47.5195579,-6.6609328
Empidonomus aurantioatrocristatus,-47.91251,-15.80259
Empidonomus aurantioatrocristatus,-72.9087496,-3.2492338
Empidonomus aurantioatrocristatus,-62.5525,-19.9080556
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-63.0811111,-19.7841667
Empidonomus aurantioatrocristatus,-64.6784878,-30.045916
Empidonomus aurantioatrocristatus,-72.8493977,-3.443448
Empidonomus aurantioatrocristatus,-69.6108663,-13.1341956
Empidonomus aurantioatrocristatus,-62.5213889,-18.9591667
Empidonomus aurantioatrocristatus,-63.1425476,-17.6578445
Empidonomus aurantioatrocristatus,-76.3308,-1.06721
Empidonomus aurantioatrocristatus,-71.49185,-13.0236
Empidonomus aurantioatrocristatus,-59.3111111,-22.545
Empidonomus aurantioatrocristatus,-58.5833333,-23.9333333
Empidonomus aurantioatrocristatus,-62.5086111,-19.175
Empidonomus aurantioatrocristatus,-60.81,-18.5186111
Empidonomus aurantioatrocristatus,-58.679899,-33.4912494
Empidonomus aurantioatrocristatus,-72.9087496,-3.2492338
Empidonomus aurantioatrocristatus,-62.5788889,-19.9241667
Empidonomus aurantioatrocristatus,-72.9087496,-3.2492338
Empidonomus aurantioatrocristatus,-62.5525,-19.9080556
Empidonomus aurantioatrocristatus,-69.2998994,-12.8024426
Empidonomus aurantioatrocristatus,-77.8158453,-0.9943608
Empidonomus aurantioatrocristatus,-65.0333333,-32.35
Empidonomus aurantioatrocristatus,-63.1605721,-17.9483605
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-58.836,-26.2473333
Empidonomus aurantioatrocristatus,-65.0333333,-32.35
Empidonomus aurantioatrocristatus,-62.5608333,-19.9222222
Empidonomus aurantioatrocristatus,-70.7064,-12.35545
Empidonomus aurantioatrocristatus,-59.3111111,-22.545
Empidonomus aurantioatrocristatus,-62.1997222,-19.9016667
Empidonomus aurantioatrocristatus,-62.5608333,-19.9222222
Empidonomus aurantioatrocristatus,-62.5525,-19.9080556
Empidonomus aurantioatrocristatus,-62.1997222,-19.9016667
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-69.2998994,-12.8024426
Empidonomus aurantioatrocristatus,-64.6960831,-31.6603951
Empidonomus aurantioatrocristatus,-59.3397222,-22.5694444
Empidonomus aurantioatrocristatus,-62.5788889,-19.9241667
Empidonomus aurantioatrocristatus,-72.9087496,-3.2492338
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-72.9170322,-3.258194
Empidonomus aurantioatrocristatus,-76.4542074,-0.473539
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-76.3734679,-0.4983038
Empidonomus aurantioatrocristatus,-64.5380831,-31.4738277
Empidonomus aurantioatrocristatus,-65.0333333,-32.35
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-62.1997222,-19.9016667
Empidonomus aurantioatrocristatus,-58.5833333,-23.9333333
Empidonomus aurantioatrocristatus,-62.6784182,-30.9178365
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-60.2672222,-19.0536111
Empidonomus aurantioatrocristatus,-63.0697632,-17.7664245
Empidonomus aurantioatrocristatus,-64.599148,-30.9643622
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-62.5788889,-19.9241667
Empidonomus aurantioatrocristatus,-70.2333333,-3.85
Empidonomus aurantioatrocristatus,-76.4746108,-0.4788399
Empidonomus aurantioatrocristatus,-71.3855,-12.7717
Empidonomus aurantioatrocristatus,-69.2998994,-12.8024426
Empidonomus aurantioatrocristatus,-63.0697632,-17.7664245
Empidonomus aurantioatrocristatus,-62.6733333,-19.9355556
Empidonomus aurantioatrocristatus,-57.7333333,-25
Empidonomus aurantioatrocristatus,-60.1138186,-2.5856297
Empidonomus aurantioatrocristatus,-64.5380831,-31.4738277
Empidonomus aurantioatrocristatus,-62.5608333,-19.9222222
Empidonomus aurantioatrocristatus,-62.5608333,-19.9222222
